[ PSO ]

EPS_X	EPS_Y	GAMMA
eps_x[272] = -5.867881e-07	 eps_y[272] = 5.254786e-07	 gama[272] = 3.683518e-06
eps_x[273] = -8.860403e-07	 eps_y[273] = 3.354384e-06	 gama[273] = 1.987810e-06
eps_x[274] = -5.925241e-07	 eps_y[274] = 5.863106e-07	 gama[274] = 3.780208e-06
eps_x[275] = -9.049887e-07	 eps_y[275] = 3.426328e-06	 gama[275] = 2.029689e-06
eps_x[276] = -6.198686e-07	 eps_y[276] = 6.320017e-07	 gama[276] = 3.828834e-06
eps_x[277] = -8.983523e-07	 eps_y[277] = 3.514264e-06	 gama[277] = 1.931589e-06
eps_x[278] = -6.591330e-07	 eps_y[278] = 6.482502e-07	 gama[278] = 3.796638e-06
eps_x[279] = -8.745789e-07	 eps_y[279] = 3.723109e-06	 gama[279] = 1.678054e-06
eps_x[280] = -6.266979e-07	 eps_y[280] = 6.249137e-07	 gama[280] = 3.829206e-06
eps_x[281] = -8.870930e-07	 eps_y[281] = 3.468823e-06	 gama[281] = 1.872596e-06
eps_x[282] = -6.788297e-07	 eps_y[282] = 6.250162e-07	 gama[282] = 3.855389e-06
eps_x[283] = -8.435717e-07	 eps_y[283] = 3.493930e-06	 gama[283] = 1.576550e-06
eps_x[284] = -6.303854e-07	 eps_y[284] = 8.331034e-07	 gama[284] = 3.748924e-06
eps_x[285] = -8.532777e-07	 eps_y[285] = 3.382239e-06	 gama[285] = 1.813447e-06
eps_x[286] = -6.046394e-07	 eps_y[286] = 6.697535e-07	 gama[286] = 3.762921e-06
eps_x[287] = -8.879326e-07	 eps_y[287] = 3.449458e-06	 gama[287] = 1.944820e-06
eps_x[288] = -6.673539e-07	 eps_y[288] = 9.616519e-07	 gama[288] = 3.943520e-06
eps_x[289] = -8.754585e-07	 eps_y[289] = 3.475181e-06	 gama[289] = 1.757328e-06
eps_x[290] = -6.240360e-07	 eps_y[290] = 7.558947e-07	 gama[290] = 3.805890e-06
eps_x[291] = -8.794580e-07	 eps_y[291] = 3.490345e-06	 gama[291] = 1.861370e-06
eps_x[292] = -6.238343e-07	 eps_y[292] = 6.599439e-07	 gama[292] = 3.790030e-06
eps_x[293] = -8.796948e-07	 eps_y[293] = 3.486027e-06	 gama[293] = 1.814999e-06
eps_x[294] = -6.888995e-07	 eps_y[294] = 6.879666e-07	 gama[294] = 3.896446e-06
eps_x[295] = -8.494465e-07	 eps_y[295] = 3.440334e-06	 gama[295] = 1.565270e-06
eps_x[296] = -6.183687e-07	 eps_y[296] = 6.926599e-07	 gama[296] = 3.743883e-06
eps_x[297] = -8.683330e-07	 eps_y[297] = 3.527398e-06	 gama[297] = 1.758360e-06
eps_x[298] = -6.338136e-07	 eps_y[298] = 7.302727e-07	 gama[298] = 3.728929e-06
eps_x[299] = -8.561940e-07	 eps_y[299] = 3.472650e-06	 gama[299] = 1.556696e-06
eps_x[300] = -6.501271e-07	 eps_y[300] = 6.168814e-07	 gama[300] = 4.032267e-06
eps_x[301] = -9.340513e-07	 eps_y[301] = 3.504207e-06	 gama[301] = 2.055012e-06
eps_x[302] = -5.628691e-07	 eps_y[302] = 5.787324e-07	 gama[302] = 3.613054e-06
eps_x[303] = -9.849672e-07	 eps_y[303] = 3.817485e-06	 gama[303] = 1.869112e-06
eps_x[304] = -6.781611e-07	 eps_y[304] = 6.531998e-07	 gama[304] = 4.110774e-06
eps_x[305] = -9.400041e-07	 eps_y[305] = 3.538324e-06	 gama[305] = 2.029793e-06
eps_x[306] = -8.457027e-07	 eps_y[306] = 5.470973e-07	 gama[306] = 4.833299e-06
eps_x[307] = -8.553233e-07	 eps_y[307] = 3.129778e-06	 gama[307] = 2.051233e-06
eps_x[308] = 4.831114e-07	 eps_y[308] = -3.397420e-06	 gama[308] = 1.036977e-07
eps_x[309] = -5.912103e-07	 eps_y[309] = 3.467993e-06	 gama[309] = 3.042036e-08
eps_x[310] = -3.089817e-07	 eps_y[310] = -4.976897e-07	 gama[310] = 3.804008e-06
eps_x[311] = -1.182145e-06	 eps_y[311] = 2.610888e-06	 gama[311] = 3.813842e-06
eps_x[312] = -5.981280e-07	 eps_y[312] = 6.377195e-07	 gama[312] = 3.884549e-06
eps_x[313] = -9.443389e-07	 eps_y[313] = 3.579772e-06	 gama[313] = 1.951448e-06
eps_x[314] = -7.589337e-07	 eps_y[314] = 8.840702e-07	 gama[314] = 4.144115e-06
eps_x[315] = -1.042445e-06	 eps_y[315] = 4.049847e-06	 gama[315] = 1.909618e-06
eps_x[316] = -7.506152e-07	 eps_y[316] = 7.416429e-07	 gama[316] = 4.312535e-06
eps_x[317] = -9.162200e-07	 eps_y[317] = 3.982190e-06	 gama[317] = 2.023412e-06
eps_x[318] = -2.374985e-07	 eps_y[318] = 4.079850e-07	 gama[318] = 3.115632e-06
eps_x[319] = -9.157185e-07	 eps_y[319] = 3.034441e-06	 gama[319] = 1.768544e-06
eps_x[320] = 6.925893e-07	 eps_y[320] = -3.794093e-06	 gama[320] = -3.598095e-07
eps_x[321] = -8.825132e-07	 eps_y[321] = 3.191774e-06	 gama[321] = 1.037502e-06
eps_x[322] = -1.639917e-06	 eps_y[322] = 2.197421e-06	 gama[322] = 5.869808e-06
eps_x[323] = -6.697141e-07	 eps_y[323] = 7.412674e-07	 gama[323] = 3.614337e-06
eps_x[324] = -9.131901e-07	 eps_y[324] = 4.596006e-06	 gama[324] = 1.427156e-06
eps_x[325] = 5.129640e-07	 eps_y[325] = -4.312151e-06	 gama[325] = -1.183412e-07
eps_x[326] = -6.236815e-07	 eps_y[326] = 3.208854e-06	 gama[326] = 8.174805e-07
eps_x[327] = -7.037260e-07	 eps_y[327] = 5.736722e-07	 gama[327] = 3.773323e-06
eps_x[328] = -7.768592e-07	 eps_y[328] = 3.511924e-06	 gama[328] = 1.242109e-06
eps_x[329] = 6.902614e-07	 eps_y[329] = -3.532931e-06	 gama[329] = -8.945373e-07
eps_x[330] = -7.358529e-07	 eps_y[330] = 3.134322e-06	 gama[330] = 1.164229e-06
eps_x[331] = -7.608205e-07	 eps_y[331] = 6.174406e-07	 gama[331] = 4.026646e-06
eps_x[332] = -8.064315e-07	 eps_y[332] = 3.321940e-06	 gama[332] = 1.339390e-06
eps_x[333] = 8.006096e-07	 eps_y[333] = -3.332146e-06	 gama[333] = -1.223017e-06
eps_x[334] = -8.427850e-07	 eps_y[334] = 3.052784e-06	 gama[334] = 1.440448e-06
eps_x[335] = -8.075878e-07	 eps_y[335] = 9.040572e-07	 gama[335] = 4.189941e-06
eps_x[336] = -8.584206e-07	 eps_y[336] = 3.326564e-06	 gama[336] = 1.429755e-06
eps_x[337] = 9.808576e-07	 eps_y[337] = -3.326084e-06	 gama[337] = -1.525013e-06
eps_x[338] = -1.056041e-06	 eps_y[338] = 3.335521e-06	 gama[338] = 1.667808e-06
eps_x[339] = -1.062732e-06	 eps_y[339] = 4.571780e-06	 gama[339] = 1.326368e-06
eps_x[340] = 1.045309e-06	 eps_y[340] = -4.200735e-06	 gama[340] = -1.469841e-06
eps_x[341] = -7.643763e-07	 eps_y[341] = 1.148182e-06	 gama[341] = 4.986138e-06
eps_x[342] = -1.026824e-06	 eps_y[342] = 3.670219e-06	 gama[342] = 2.014805e-06
eps_x[343] = 1.118355e-06	 eps_y[343] = -4.321370e-06	 gama[343] = -1.076215e-06
eps_x[344] = -6.412116e-08	 eps_y[344] = -1.565363e-06	 gama[344] = 3.534990e-06
eps_x[345] = -1.236496e-06	 eps_y[345] = 2.787675e-06	 gama[345] = 3.321623e-06
eps_x[346] = -6.789087e-07	 eps_y[346] = 1.913351e-06	 gama[346] = 5.235885e-06
eps_x[347] = -8.981673e-07	 eps_y[347] = 2.947911e-06	 gama[347] = 1.647517e-06
eps_x[348] = 7.713488e-07	 eps_y[348] = -4.516156e-06	 gama[348] = -7.216137e-07
eps_x[349] = -8.438457e-07	 eps_y[349] = 3.407233e-06	 gama[349] = 4.995489e-07
eps_x[350] = 6.528113e-07	 eps_y[350] = -4.632868e-06	 gama[350] = 9.454675e-07
eps_x[351] = -6.554365e-07	 eps_y[351] = 7.109918e-07	 gama[351] = 4.069538e-06
eps_x[352] = -9.315206e-07	 eps_y[352] = 3.520832e-06	 gama[352] = 1.911097e-06
eps_x[353] = -6.362831e-07	 eps_y[353] = 7.054375e-07	 gama[353] = 3.873426e-06
eps_x[354] = -8.886345e-07	 eps_y[354] = 3.506726e-06	 gama[354] = 1.848849e-06
eps_x[355] = -5.465512e-07	 eps_y[355] = -4.363109e-08	 gama[355] = 3.676273e-06
eps_x[356] = -9.582521e-07	 eps_y[356] = 3.382472e-06	 gama[356] = 2.132844e-06
eps_x[357] = -6.301837e-07	 eps_y[357] = 5.086577e-07	 gama[357] = 3.857684e-06
eps_x[358] = -8.994393e-07	 eps_y[358] = 3.468038e-06	 gama[358] = 1.886155e-06
eps_x[359] = -6.305029e-07	 eps_y[359] = 6.668137e-07	 gama[359] = 3.768872e-06
eps_x[360] = -8.583158e-07	 eps_y[360] = 3.552314e-06	 gama[360] = 1.725352e-06
eps_x[361] = -6.027052e-07	 eps_y[361] = 6.564440e-07	 gama[361] = 3.629742e-06
eps_x[362] = -8.388936e-07	 eps_y[362] = 3.585685e-06	 gama[362] = 1.584199e-06
eps_x[363] = -6.576721e-07	 eps_y[363] = 5.877949e-07	 gama[363] = 3.850181e-06
eps_x[364] = -8.578028e-07	 eps_y[364] = 3.529403e-06	 gama[364] = 1.705706e-06
eps_x[365] = -6.485902e-07	 eps_y[365] = 5.403870e-07	 gama[365] = 3.762314e-06
eps_x[366] = -8.202788e-07	 eps_y[366] = 3.645068e-06	 gama[366] = 1.593624e-06
eps_x[367] = -6.239428e-07	 eps_y[367] = 6.988868e-07	 gama[367] = 3.521705e-06
eps_x[368] = -8.201767e-07	 eps_y[368] = 3.275075e-06	 gama[368] = 1.818746e-06
eps_x[369] = -6.436891e-07	 eps_y[369] = 5.497171e-07	 gama[369] = 3.792946e-06
eps_x[370] = -8.769075e-07	 eps_y[370] = 3.431475e-06	 gama[370] = 1.821162e-06
eps_x[371] = -7.476978e-07	 eps_y[371] = 1.474597e-06	 gama[371] = 3.841676e-06
eps_x[372] = -7.809794e-07	 eps_y[372] = 3.409866e-06	 gama[372] = 1.338564e-06
eps_x[373] = -6.817936e-07	 eps_y[373] = 8.554089e-07	 gama[373] = 3.808255e-06
eps_x[374] = -8.446768e-07	 eps_y[374] = 3.481254e-06	 gama[374] = 1.615784e-06
eps_x[375] = -6.900621e-07	 eps_y[375] = 5.741505e-07	 gama[375] = 3.928813e-06
eps_x[376] = -8.608947e-07	 eps_y[376] = 3.493422e-06	 gama[376] = 1.665550e-06
eps_x[377] = -7.078466e-07	 eps_y[377] = 4.962468e-07	 gama[377] = 3.946606e-06
eps_x[378] = -8.276244e-07	 eps_y[378] = 3.552434e-06	 gama[378] = 1.539834e-06
eps_x[379] = -7.180434e-07	 eps_y[379] = 7.207810e-07	 gama[379] = 3.963096e-06
eps_x[380] = -8.608276e-07	 eps_y[380] = 3.510952e-06	 gama[380] = 1.577613e-06
eps_x[381] = -7.798672e-07	 eps_y[381] = 6.167705e-07	 gama[381] = 4.176373e-06
eps_x[382] = -8.522099e-07	 eps_y[382] = 3.475235e-06	 gama[382] = 1.516529e-06
eps_x[383] = -8.811764e-07	 eps_y[383] = 4.425588e-06	 gama[383] = 5.091544e-07
eps_x[384] = 8.928259e-07	 eps_y[384] = -4.042921e-06	 gama[384] = -7.797069e-07
eps_x[385] = 8.474448e-07	 eps_y[385] = -3.647798e-06	 gama[385] = -1.995392e-07
eps_x[386] = -8.022521e-07	 eps_y[386] = 1.388702e-06	 gama[386] = 4.545538e-06
eps_x[387] = -9.047380e-07	 eps_y[387] = 3.746293e-06	 gama[387] = 1.378983e-06
eps_x[388] = -6.983631e-07	 eps_y[388] = 9.361271e-07	 gama[388] = 3.934364e-06
eps_x[389] = -8.526018e-07	 eps_y[389] = 3.607702e-06	 gama[389] = 1.489215e-06
eps_x[390] = -3.923546e-07	 eps_y[390] = -1.364047e-06	 gama[390] = 3.643477e-06
eps_x[391] = -1.102636e-06	 eps_y[391] = 3.733772e-06	 gama[391] = 2.311276e-06
eps_x[392] = -6.451951e-07	 eps_y[392] = 4.256295e-07	 gama[392] = 3.960539e-06
eps_x[393] = -8.946748e-07	 eps_y[393] = 3.691744e-06	 gama[393] = 1.636451e-06
eps_x[394] = -6.794039e-07	 eps_y[394] = 8.212320e-07	 gama[394] = 3.819153e-06
eps_x[395] = -8.577803e-07	 eps_y[395] = 3.581850e-06	 gama[395] = 1.464317e-06
eps_x[396] = -8.410470e-07	 eps_y[396] = 9.600345e-07	 gama[396] = 4.307778e-06
eps_x[397] = -8.890182e-07	 eps_y[397] = 3.537390e-06	 gama[397] = 1.476432e-06
eps_x[398] = -6.441248e-07	 eps_y[398] = 6.688403e-07	 gama[398] = 3.750015e-06
eps_x[399] = -8.443598e-07	 eps_y[399] = 3.688421e-06	 gama[399] = 1.465384e-06
eps_x[400] = -5.256952e-07	 eps_y[400] = 8.138013e-07	 gama[400] = 3.353439e-06
eps_x[401] = -8.789910e-07	 eps_y[401] = 3.574884e-06	 gama[401] = 1.330717e-06
eps_x[402] = -5.713311e-07	 eps_y[402] = 1.435178e-06	 gama[402] = 3.841367e-06
eps_x[403] = -7.850917e-07	 eps_y[403] = 3.541466e-06	 gama[403] = 1.915067e-06
eps_x[404] = -6.362370e-07	 eps_y[404] = 4.757372e-07	 gama[404] = 3.885706e-06
eps_x[405] = -8.754688e-07	 eps_y[405] = 3.569158e-06	 gama[405] = 1.788501e-06
eps_x[406] = -6.264097e-07	 eps_y[406] = 2.579979e-06	 gama[406] = -4.011451e-08
eps_x[407] = 4.014220e-07	 eps_y[407] = -3.403838e-06	 gama[407] = 1.258332e-06
eps_x[408] = -8.024787e-07	 eps_y[408] = 9.057817e-07	 gama[408] = 3.932907e-06
eps_x[409] = -8.746438e-07	 eps_y[409] = 3.282044e-06	 gama[409] = 1.839059e-06
eps_x[410] = -6.815729e-07	 eps_y[410] = 4.912206e-07	 gama[410] = 3.873244e-06
eps_x[411] = -8.321478e-07	 eps_y[411] = 3.682168e-06	 gama[411] = 1.537521e-06
eps_x[412] = -7.941132e-07	 eps_y[412] = 3.695523e-06	 gama[412] = 1.423139e-06
eps_x[413] = 5.453179e-07	 eps_y[413] = -1.983926e-07	 gama[413] = -3.640697e-06
eps_x[414] = -6.349451e-07	 eps_y[414] = 4.506923e-07	 gama[414] = 3.689457e-06
eps_x[415] = -7.705137e-07	 eps_y[415] = 5.555117e-07	 gama[415] = 4.034181e-06
eps_x[416] = -8.396798e-07	 eps_y[416] = 3.483182e-06	 gama[416] = 1.536234e-06
eps_x[417] = 8.058468e-07	 eps_y[417] = -3.511096e-06	 gama[417] = -1.273735e-06
eps_x[418] = -8.265096e-07	 eps_y[418] = 3.460948e-06	 gama[418] = 1.354765e-06
eps_x[419] = -4.889135e-07	 eps_y[419] = 7.822474e-07	 gama[419] = 3.295915e-06
eps_x[420] = -8.718381e-07	 eps_y[420] = 3.358032e-06	 gama[420] = 1.415056e-06
eps_x[421] = -2.009512e-06	 eps_y[421] = 2.969140e-06	 gama[421] = 7.607480e-06
eps_x[422] = 4.951163e-07	 eps_y[422] = -2.208530e-07	 gama[422] = -3.546065e-06
eps_x[423] = 7.821317e-07	 eps_y[423] = -3.654119e-06	 gama[423] = -1.478689e-06
eps_x[424] = -7.897941e-07	 eps_y[424] = 3.723372e-06	 gama[424] = 1.517498e-06
eps_x[425] = 8.021097e-07	 eps_y[425] = -3.569338e-06	 gama[425] = -1.387389e-06
eps_x[426] = -8.184444e-07	 eps_y[426] = 3.472399e-06	 gama[426] = 1.477720e-06
eps_x[427] = 8.613829e-07	 eps_y[427] = -3.483628e-06	 gama[427] = -1.431818e-06
eps_x[428] = -8.945953e-07	 eps_y[428] = 3.263727e-06	 gama[428] = 1.605377e-06
eps_x[429] = 1.041124e-06	 eps_y[429] = -3.537248e-06	 gama[429] = -1.686619e-06
eps_x[430] = -1.095259e-06	 eps_y[430] = 3.800070e-06	 gama[430] = 1.677585e-06
eps_x[431] = -2.031746e-06	 eps_y[431] = 3.135058e-06	 gama[431] = 7.561134e-06
eps_x[432] = -8.380957e-07	 eps_y[432] = 3.491779e-06	 gama[432] = 6.482814e-07
eps_x[433] = 7.459942e-07	 eps_y[433] = -3.846706e-06	 gama[433] = -2.557861e-07
eps_x[434] = -9.286096e-07	 eps_y[434] = 1.055796e-06	 gama[434] = 4.432949e-06
eps_x[435] = -8.478439e-07	 eps_y[435] = 3.211181e-06	 gama[435] = 1.055830e-06
eps_x[436] = -9.879642e-07	 eps_y[436] = 4.360806e-06	 gama[436] = 6.192410e-07
eps_x[437] = 9.399661e-07	 eps_y[437] = -4.033233e-06	 gama[437] = -7.986430e-07
eps_x[438] = -8.934791e-07	 eps_y[438] = 9.921429e-07	 gama[438] = 5.073826e-06
eps_x[439] = -9.786487e-07	 eps_y[439] = 3.321571e-06	 gama[439] = 1.420248e-06
eps_x[440] = -8.951641e-07	 eps_y[440] = 6.818969e-07	 gama[440] = 4.356548e-06
eps_x[441] = -8.634411e-07	 eps_y[441] = 3.313907e-06	 gama[441] = 1.394347e-06
eps_x[442] = 8.578262e-07	 eps_y[442] = -3.329474e-06	 gama[442] = -1.213501e-06
eps_x[443] = -8.964306e-07	 eps_y[443] = 3.312701e-06	 gama[443] = 1.304355e-06
eps_x[444] = -9.482267e-07	 eps_y[444] = 6.817094e-07	 gama[444] = 4.629855e-06
eps_x[445] = -9.193184e-07	 eps_y[445] = 3.180751e-06	 gama[445] = 1.323738e-06
eps_x[446] = 9.707063e-07	 eps_y[446] = -3.186322e-06	 gama[446] = -1.110282e-06
eps_x[447] = -1.077056e-06	 eps_y[447] = 3.296341e-06	 gama[447] = 1.164697e-06
eps_x[448] = 1.051251e-06	 eps_y[448] = -4.124322e-06	 gama[448] = -3.742849e-07
eps_x[449] = -4.070266e-07	 eps_y[449] = -1.784505e-06	 gama[449] = 4.659037e-06
eps_x[450] = -1.280507e-06	 eps_y[450] = 2.610512e-06	 gama[450] = 3.164531e-06
eps_x[451] = -8.194745e-07	 eps_y[451] = 1.732285e-06	 gama[451] = 4.422626e-06
eps_x[452] = -8.073257e-07	 eps_y[452] = 3.138536e-06	 gama[452] = 6.214214e-07
eps_x[453] = 6.480148e-07	 eps_y[453] = -4.176797e-06	 gama[453] = 5.298300e-07
eps_x[454] = -3.939386e-07	 eps_y[454] = -1.623746e-07	 gama[454] = 3.117532e-06
eps_x[455] = -9.371176e-07	 eps_y[455] = 2.904751e-06	 gama[455] = 1.583427e-06
eps_x[456] = -2.030901e-06	 eps_y[456] = 1.967502e-06	 gama[456] = 7.262909e-06
eps_x[457] = 3.075598e-07	 eps_y[457] = -2.786826e-06	 gama[457] = 8.842763e-07
eps_x[458] = -3.493885e-07	 eps_y[458] = 3.788999e-06	 gama[458] = -1.912987e-06
eps_x[459] = -8.249923e-07	 eps_y[459] = 3.160579e-06	 gama[459] = -7.310425e-07
eps_x[460] = 2.861588e-07	 eps_y[460] = -4.241007e-06	 gama[460] = 2.771044e-06
eps_x[461] = -8.208511e-07	 eps_y[461] = 4.270697e-06	 gama[461] = -1.682411e-06
eps_x[462] = 9.302786e-07	 eps_y[462] = -3.899022e-06	 gama[462] = 8.755684e-07
eps_x[463] = -9.365991e-07	 eps_y[463] = 3.870792e-07	 gama[463] = 5.195098e-06
eps_x[464] = -1.024586e-06	 eps_y[464] = 2.859297e-06	 gama[464] = 2.401916e-06
eps_x[465] = 2.682359e-07	 eps_y[465] = -3.953863e-06	 gama[465] = 3.089003e-06
eps_x[466] = -1.117668e-06	 eps_y[466] = 3.994190e-06	 gama[466] = -2.721122e-06
eps_x[467] = -9.024201e-07	 eps_y[467] = 3.453379e-06	 gama[467] = -2.192919e-06
eps_x[468] = 8.044444e-07	 eps_y[468] = -3.264833e-06	 gama[468] = 1.635734e-06
eps_x[469] = 9.032095e-07	 eps_y[469] = -3.171780e-06	 gama[469] = 2.255427e-06
eps_x[470] = -2.866344e-06	 eps_y[470] = 1.746433e-06	 gama[470] = 8.427985e-06

SIGMA_Z
sigma_z[0] = 1.027531e+05
sigma_z[1] = -1.841407e+05
sigma_z[2] = -1.054698e+04
sigma_z[3] = -1.198028e+03
sigma_z[4] = 1.407398e+05
sigma_z[5] = -1.676839e+05
sigma_z[6] = -2.837070e+03
sigma_z[7] = 1.282908e+05
sigma_z[8] = -4.267001e+02
sigma_z[9] = -4.099630e+03
sigma_z[10] = 3.550617e+03
sigma_z[11] = -5.142840e+03
sigma_z[12] = -1.993085e+03
sigma_z[13] = 1.332450e+05
sigma_z[14] = 1.741747e+03
sigma_z[15] = 1.385046e+05
sigma_z[16] = 1.525784e+05
sigma_z[17] = -1.652311e+05
sigma_z[18] = 3.901086e+02
sigma_z[19] = 1.410491e+05
sigma_z[20] = 1.522645e+05
sigma_z[21] = -1.672075e+05
sigma_z[22] = 9.903638e+02
sigma_z[23] = 1.456302e+05
sigma_z[24] = 2.090470e+02
sigma_z[25] = 1.371103e+05
sigma_z[26] = 1.558132e+03
sigma_z[27] = 1.382018e+05
sigma_z[28] = 1.534063e+03
sigma_z[29] = 1.413061e+05
sigma_z[30] = 2.288564e+03
sigma_z[31] = 1.396892e+05
sigma_z[32] = 4.970090e+03
sigma_z[33] = -5.503008e+03
sigma_z[34] = 5.453995e+03
sigma_z[35] = -5.613379e+03
sigma_z[36] = 3.897111e+03
sigma_z[37] = 1.411789e+05
sigma_z[38] = 4.860698e+03
sigma_z[39] = 1.423137e+05
sigma_z[40] = 5.601063e+03
sigma_z[41] = -5.632689e+03
sigma_z[42] = 5.096078e+03
sigma_z[43] = -4.912865e+03
sigma_z[44] = 5.250682e+03
sigma_z[45] = 1.427444e+05
sigma_z[46] = 4.796642e+03
sigma_z[47] = 1.441196e+05
sigma_z[48] = 3.239170e+03
sigma_z[49] = 1.399324e+05
sigma_z[50] = 4.326225e+03
sigma_z[51] = 1.410314e+05
sigma_z[52] = 3.230865e+03
sigma_z[53] = 1.398057e+05
sigma_z[54] = 4.069986e+03
sigma_z[55] = 1.403305e+05
sigma_z[56] = 4.870872e+03
sigma_z[57] = 1.415830e+05
sigma_z[58] = 4.575224e+03
sigma_z[59] = 1.420892e+05
sigma_z[60] = 4.606594e+03
sigma_z[61] = 1.407366e+05
sigma_z[62] = 4.314625e+03
sigma_z[63] = 1.406393e+05
sigma_z[64] = -1.749972e+05
sigma_z[65] = 4.611728e+03
sigma_z[66] = -2.309571e+05
sigma_z[67] = -4.622063e+03
sigma_z[68] = 1.439369e+05
sigma_z[69] = 1.448241e+05
sigma_z[70] = -2.167929e+05
sigma_z[71] = 4.048106e+04
sigma_z[72] = 1.490453e+05
sigma_z[73] = 2.694206e+03
sigma_z[74] = 1.430110e+05
sigma_z[75] = 3.359446e+03
sigma_z[76] = 1.411787e+05
sigma_z[77] = 1.102369e+04
sigma_z[78] = 1.444461e+05
sigma_z[79] = 5.862113e+03
sigma_z[80] = 1.421701e+05
sigma_z[81] = 1.620929e+05
sigma_z[82] = -1.992884e+05
sigma_z[83] = 2.616115e+04
sigma_z[84] = 1.492907e+05
sigma_z[85] = 1.816312e+05
sigma_z[86] = -1.606982e+05
sigma_z[87] = 2.023039e+04
sigma_z[88] = 1.426661e+05
sigma_z[89] = 1.594663e+04
sigma_z[90] = 1.452162e+05
sigma_z[91] = 8.234858e+03
sigma_z[92] = 1.426659e+05
sigma_z[93] = 3.731723e+03
sigma_z[94] = 1.421334e+05
sigma_z[95] = 5.657484e+03
sigma_z[96] = 1.418225e+05
sigma_z[97] = 3.692324e+03
sigma_z[98] = 1.403131e+05
sigma_z[99] = 4.113705e+03
sigma_z[100] = 1.401847e+05
sigma_z[101] = 4.638413e+03
sigma_z[102] = 1.409016e+05
sigma_z[103] = 4.454012e+03
sigma_z[104] = 1.403355e+05
sigma_z[105] = 4.459632e+03
sigma_z[106] = 1.403202e+05
sigma_z[107] = 3.873517e+03
sigma_z[108] = 1.399640e+05
sigma_z[109] = 4.399433e+03
sigma_z[110] = 1.403698e+05
sigma_z[111] = 3.299976e+03
sigma_z[112] = 1.403682e+05
sigma_z[113] = 5.696583e+03
sigma_z[114] = 1.412663e+05
sigma_z[115] = 4.917042e+03
sigma_z[116] = 1.405348e+05
sigma_z[117] = 5.461868e+03
sigma_z[118] = 1.411453e+05
sigma_z[119] = 5.088984e+03
sigma_z[120] = 1.406093e+05
sigma_z[121] = 4.440243e+03
sigma_z[122] = 1.406107e+05
sigma_z[123] = 3.021117e+03
sigma_z[124] = 1.416458e+05
sigma_z[125] = 4.469606e+03
sigma_z[126] = 1.406716e+05
sigma_z[127] = 2.701704e+03
sigma_z[128] = 1.418942e+05
sigma_z[129] = 2.603759e+03
sigma_z[130] = -1.257889e+03
sigma_z[131] = -5.316907e+03
sigma_z[132] = 2.432755e+03
sigma_z[133] = 3.244983e+03
sigma_z[134] = 1.498218e+05
sigma_z[135] = 1.391666e+03
sigma_z[136] = 1.669216e+05
sigma_z[137] = -1.881642e+04
sigma_z[138] = 4.441137e+04
sigma_z[139] = -1.470239e+04
sigma_z[140] = -2.563499e+03
sigma_z[141] = 4.735495e+03
sigma_z[142] = 2.235201e+05
sigma_z[143] = -2.271903e+05
sigma_z[144] = 1.544909e+05
sigma_z[145] = 3.029678e+03
sigma_z[146] = 1.434645e+05
sigma_z[147] = 1.364929e+03
sigma_z[148] = 1.483574e+05
sigma_z[149] = 2.125540e+03
sigma_z[150] = 1.393286e+05
sigma_z[151] = -1.550883e+03
sigma_z[152] = 1.359592e+05
sigma_z[153] = 2.032940e+03
sigma_z[154] = 1.622615e+05
sigma_z[155] = -1.652105e+05
sigma_z[156] = 1.712482e+05
sigma_z[157] = -1.198298e+03
sigma_z[158] = 1.332647e+05
sigma_z[159] = -1.327401e+05
sigma_z[160] = 1.884511e+05
sigma_z[161] = 9.782599e+02
sigma_z[162] = 1.381045e+05
sigma_z[163] = -4.794361e+03
sigma_z[164] = 1.333213e+05
sigma_z[165] = 3.803164e+02
sigma_z[166] = 1.382110e+05
sigma_z[167] = -4.462068e+03
sigma_z[168] = 1.347751e+05
sigma_z[169] = -1.315279e+04
sigma_z[170] = 1.168094e+05
sigma_z[171] = -9.189240e+03
sigma_z[172] = -9.935091e+04
sigma_z[173] = 1.601154e+05
sigma_z[174] = -1.337614e+04
sigma_z[175] = 1.354564e+05
sigma_z[176] = -1.333358e+05
sigma_z[177] = 1.448532e+05
sigma_z[178] = 1.853933e+02
sigma_z[179] = 1.414609e+05
sigma_z[180] = -1.947709e+03
sigma_z[181] = 1.325746e+05
sigma_z[182] = 2.164056e+02
sigma_z[183] = 1.460903e+05
sigma_z[184] = -4.589086e+03
sigma_z[185] = 1.506609e+05
sigma_z[186] = -5.231721e+03
sigma_z[187] = 1.291825e+05
sigma_z[188] = -1.264580e+05
sigma_z[189] = 1.302337e+05
sigma_z[190] = 3.777045e+03
sigma_z[191] = 1.109407e+05
sigma_z[192] = 1.386088e+04
sigma_z[193] = -1.542073e+05
sigma_z[194] = -8.497598e+04
sigma_z[195] = 8.480911e+04
sigma_z[196] = 1.342878e+05
sigma_z[197] = -1.700728e+05
sigma_z[198] = -2.929159e+04
sigma_z[199] = 1.332423e+05
sigma_z[200] = -2.578391e+03
sigma_z[201] = 1.393349e+05
sigma_z[202] = 2.023025e+04
sigma_z[203] = 1.394260e+05
sigma_z[204] = 6.868513e+02
sigma_z[205] = 1.388046e+05
sigma_z[206] = 1.587209e+05
sigma_z[207] = -1.727792e+05
sigma_z[208] = 1.905753e+05
sigma_z[209] = -1.750254e+05
sigma_z[210] = 1.980257e+04
