[ PSO ]

EPS_X	EPS_Y	GAMMA
eps_x[62] = -5.725894e-07	 eps_y[62] = 6.502526e-07	 gama[62] = 3.844625e-06
eps_x[63] = -9.299300e-07	 eps_y[63] = 3.461438e-06	 gama[63] = 2.186298e-06
eps_x[64] = 8.761121e-07	 eps_y[64] = -4.026062e-06	 gama[64] = -1.716833e-06
eps_x[65] = 6.173013e-07	 eps_y[65] = -5.342902e-07	 gama[65] = -3.832117e-06
eps_x[66] = 1.411694e-06	 eps_y[66] = -5.568922e-06	 gama[66] = -3.712496e-06
eps_x[67] = -6.225862e-07	 eps_y[67] = 5.393891e-07	 gama[67] = 3.615589e-06
eps_x[68] = -8.410689e-07	 eps_y[68] = 3.431934e-06	 gama[68] = 1.650759e-06
eps_x[69] = -8.313225e-07	 eps_y[69] = 3.438156e-06	 gama[69] = 5.299684e-07
eps_x[70] = 6.672345e-07	 eps_y[70] = -4.569507e-06	 gama[70] = 7.167669e-07
eps_x[71] = -7.311605e-07	 eps_y[71] = 1.459820e-06	 gama[71] = 3.827049e-06
eps_x[72] = -7.861808e-07	 eps_y[72] = 3.468996e-06	 gama[72] = 1.406264e-06
eps_x[73] = -6.155846e-07	 eps_y[73] = 6.640803e-07	 gama[73] = 3.750772e-06
eps_x[74] = -8.633933e-07	 eps_y[74] = 3.437592e-06	 gama[74] = 1.784508e-06
eps_x[75] = -5.961821e-07	 eps_y[75] = 6.566522e-07	 gama[75] = 3.786116e-06
eps_x[76] = -8.900940e-07	 eps_y[76] = 3.431310e-06	 gama[76] = 1.952061e-06
eps_x[77] = -6.441110e-07	 eps_y[77] = 8.425375e-07	 gama[77] = 3.815555e-06
eps_x[78] = -8.623350e-07	 eps_y[78] = 3.462366e-06	 gama[78] = 1.764226e-06
eps_x[79] = -6.054815e-07	 eps_y[79] = 7.109995e-07	 gama[79] = 3.813207e-06
eps_x[80] = -8.920094e-07	 eps_y[80] = 3.451072e-06	 gama[80] = 1.951398e-06
eps_x[81] = -9.886950e-07	 eps_y[81] = 3.906367e-06	 gama[81] = 1.410881e-06
eps_x[82] = 9.225305e-07	 eps_y[82] = -4.509722e-06	 gama[82] = -9.846099e-07
eps_x[83] = -7.982021e-07	 eps_y[83] = 1.269103e-06	 gama[83] = 4.323654e-06
eps_x[84] = -9.114017e-07	 eps_y[84] = 3.598634e-06	 gama[84] = 1.517309e-06
eps_x[85] = -1.043951e-06	 eps_y[85] = 4.313313e-06	 gama[85] = 1.156638e-06
eps_x[86] = 1.031033e-06	 eps_y[86] = -3.923600e-06	 gama[86] = -1.366813e-06
eps_x[87] = -8.120090e-07	 eps_y[87] = 1.176156e-06	 gama[87] = 4.972392e-06
eps_x[88] = -1.024165e-06	 eps_y[88] = 3.592154e-06	 gama[88] = 1.938263e-06
eps_x[89] = -6.810502e-07	 eps_y[89] = 9.680896e-07	 gama[89] = 3.985527e-06
eps_x[90] = -8.863068e-07	 eps_y[90] = 3.500199e-06	 gama[90] = 1.773010e-06
eps_x[91] = -6.207230e-07	 eps_y[91] = 7.689504e-07	 gama[91] = 3.874188e-06
eps_x[92] = -9.006080e-07	 eps_y[92] = 3.468595e-06	 gama[92] = 1.958685e-06
eps_x[93] = -6.790539e-07	 eps_y[93] = 7.462249e-07	 gama[93] = 4.100573e-06
eps_x[94] = -9.391464e-07	 eps_y[94] = 3.497548e-06	 gama[94] = 1.911994e-06
eps_x[95] = -6.274646e-07	 eps_y[95] = 7.292993e-07	 gama[95] = 3.924381e-06
eps_x[96] = -9.185289e-07	 eps_y[96] = 3.471334e-06	 gama[96] = 1.997611e-06
eps_x[97] = -5.810725e-07	 eps_y[97] = 6.475343e-07	 gama[97] = 3.803682e-06
eps_x[98] = -9.110881e-07	 eps_y[98] = 3.436723e-06	 gama[98] = 2.083650e-06
eps_x[99] = -5.713037e-07	 eps_y[99] = 6.453504e-07	 gama[99] = 3.816052e-06
eps_x[100] = -9.245508e-07	 eps_y[100] = 3.447875e-06	 gama[100] = 2.166700e-06
eps_x[101] = -5.845444e-07	 eps_y[101] = 6.680359e-07	 gama[101] = 3.814978e-06
eps_x[102] = -9.106222e-07	 eps_y[102] = 3.446851e-06	 gama[102] = 2.075237e-06
eps_x[103] = -5.729087e-07	 eps_y[103] = 6.530809e-07	 gama[103] = 3.819681e-06
eps_x[104] = -9.228528e-07	 eps_y[104] = 3.448891e-06	 gama[104] = 2.155004e-06
eps_x[105] = -5.663711e-07	 eps_y[105] = 6.466444e-07	 gama[105] = 3.826873e-06
eps_x[106] = -9.317116e-07	 eps_y[106] = 3.457476e-06	 gama[106] = 2.210983e-06
eps_x[107] = -5.760692e-07	 eps_y[107] = 6.457925e-07	 gama[107] = 3.859668e-06
eps_x[108] = -9.320261e-07	 eps_y[108] = 3.451379e-06	 gama[108] = 2.195478e-06
eps_x[109] = -5.694747e-07	 eps_y[109] = 6.486645e-07	 gama[109] = 3.832286e-06
eps_x[110] = -9.305905e-07	 eps_y[110] = 3.457247e-06	 gama[110] = 2.201879e-06
eps_x[111] = -5.833021e-07	 eps_y[111] = 6.427017e-07	 gama[111] = 3.882337e-06
eps_x[112] = -9.353508e-07	 eps_y[112] = 3.461978e-06	 gama[112] = 2.201574e-06
eps_x[113] = -5.907333e-07	 eps_y[113] = 6.932718e-07	 gama[113] = 3.838720e-06
eps_x[114] = -9.136159e-07	 eps_y[114] = 3.456409e-06	 gama[114] = 2.076811e-06
eps_x[115] = -5.754539e-07	 eps_y[115] = 6.639606e-07	 gama[115] = 3.828683e-06
eps_x[116] = -9.233015e-07	 eps_y[116] = 3.452927e-06	 gama[116] = 2.151754e-06
eps_x[117] = -5.960915e-07	 eps_y[117] = 6.944051e-07	 gama[117] = 3.863494e-06
eps_x[118] = -9.202565e-07	 eps_y[118] = 3.460872e-06	 gama[118] = 2.089071e-06
eps_x[119] = -5.783102e-07	 eps_y[119] = 6.699119e-07	 gama[119] = 3.839925e-06
eps_x[120] = -9.255793e-07	 eps_y[120] = 3.456546e-06	 gama[120] = 2.154336e-06
eps_x[121] = -5.731723e-07	 eps_y[121] = 6.530966e-07	 gama[121] = 3.839387e-06
eps_x[122] = -9.304432e-07	 eps_y[122] = 3.461435e-06	 gama[122] = 2.192463e-06
eps_x[123] = -5.908330e-07	 eps_y[123] = 6.452131e-07	 gama[123] = 3.892863e-06
eps_x[124] = -9.381452e-07	 eps_y[124] = 3.487769e-06	 gama[124] = 2.190353e-06
eps_x[125] = -5.771364e-07	 eps_y[125] = 6.575893e-07	 gama[125] = 3.848604e-06
eps_x[126] = -9.306079e-07	 eps_y[126] = 3.462698e-06	 gama[126] = 2.183379e-06
eps_x[127] = -5.989155e-07	 eps_y[127] = 6.475462e-07	 gama[127] = 3.903988e-06
eps_x[128] = -9.363618e-07	 eps_y[128] = 3.490458e-06	 gama[128] = 2.162744e-06
eps_x[129] = -6.014866e-07	 eps_y[129] = 6.483543e-07	 gama[129] = 3.911960e-06
eps_x[130] = 5.602521e-07	 eps_y[130] = -5.828941e-07	 gama[130] = -3.894758e-06
eps_x[131] = -6.689993e-07	 eps_y[131] = 5.732950e-07	 gama[131] = 4.145007e-06
eps_x[132] = 5.972740e-07	 eps_y[132] = -5.534844e-07	 gama[132] = -4.207695e-06
eps_x[133] = -6.068429e-07	 eps_y[133] = 6.652526e-07	 gama[133] = 3.867614e-06
eps_x[134] = -9.280276e-07	 eps_y[134] = 3.624820e-06	 gama[134] = 2.072562e-06
eps_x[135] = -6.730036e-07	 eps_y[135] = 6.980536e-07	 gama[135] = 3.941569e-06
eps_x[136] = -9.398988e-07	 eps_y[136] = 3.944488e-06	 gama[136] = 1.904970e-06
eps_x[137] = -8.376049e-07	 eps_y[137] = 4.989093e-07	 gama[137] = 4.965748e-06
eps_x[138] = 6.176824e-07	 eps_y[138] = 1.817222e-07	 gama[138] = -4.594878e-06
eps_x[139] = -2.967052e-07	 eps_y[139] = 3.206221e-08	 gama[139] = 3.814011e-06
eps_x[140] = 6.176824e-07	 eps_y[140] = -6.638254e-07	 gama[140] = -4.195728e-06
eps_x[141] = -7.514055e-07	 eps_y[141] = 8.366445e-07	 gama[141] = 4.010572e-06
eps_x[142] = -1.043693e-06	 eps_y[142] = 5.067054e-06	 gama[142] = 1.748539e-06
eps_x[143] = 6.017596e-07	 eps_y[143] = -4.691186e-06	 gama[143] = 7.013473e-09
eps_x[144] = -7.298382e-07	 eps_y[144] = 3.510675e-06	 gama[144] = 8.076852e-07
eps_x[145] = -6.021460e-07	 eps_y[145] = 6.566802e-07	 gama[145] = 3.846241e-06
eps_x[146] = -9.117831e-07	 eps_y[146] = 3.494145e-06	 gama[146] = 2.008288e-06
eps_x[147] = -6.496818e-07	 eps_y[147] = 6.742505e-07	 gama[147] = 3.825877e-06
eps_x[148] = -8.852749e-07	 eps_y[148] = 3.555708e-06	 gama[148] = 1.713989e-06
eps_x[149] = -6.041729e-07	 eps_y[149] = 6.424327e-07	 gama[149] = 3.879459e-06
eps_x[150] = -9.097389e-07	 eps_y[150] = 3.417653e-06	 gama[150] = 2.029123e-06
eps_x[151] = -6.390209e-07	 eps_y[151] = 6.111050e-07	 gama[151] = 3.865077e-06
eps_x[152] = -8.708996e-07	 eps_y[152] = 3.318166e-06	 gama[152] = 1.754778e-06
eps_x[153] = -7.393682e-07	 eps_y[153] = 7.759611e-07	 gama[153] = 3.859076e-06
eps_x[154] = -8.507876e-07	 eps_y[154] = 3.771495e-06	 gama[154] = 1.332370e-06
eps_x[155] = 7.702896e-07	 eps_y[155] = -3.744078e-06	 gama[155] = -8.754798e-07
eps_x[156] = -7.757680e-07	 eps_y[156] = 3.858236e-06	 gama[156] = 8.387283e-07
eps_x[157] = -6.161971e-07	 eps_y[157] = 5.946277e-07	 gama[157] = 3.568351e-06
eps_x[158] = -8.214111e-07	 eps_y[158] = 3.220176e-06	 gama[158] = 1.350230e-06
eps_x[159] = 7.419516e-07	 eps_y[159] = -3.131273e-06	 gama[159] = -4.861347e-07
eps_x[160] = -6.668621e-07	 eps_y[160] = 4.058982e-06	 gama[160] = -3.617179e-07
eps_x[161] = -6.126224e-07	 eps_y[161] = 6.302311e-07	 gama[161] = 3.936317e-06
eps_x[162] = -9.214487e-07	 eps_y[162] = 3.407330e-06	 gama[162] = 2.081822e-06
eps_x[163] = -6.623269e-07	 eps_y[163] = 5.760284e-07	 gama[163] = 4.025237e-06
eps_x[164] = -8.924722e-07	 eps_y[164] = 3.292255e-06	 gama[164] = 1.893026e-06
eps_x[165] = -6.134725e-07	 eps_y[165] = 6.203182e-07	 gama[165] = 3.966099e-06
eps_x[166] = -9.360357e-07	 eps_y[166] = 3.423834e-06	 gama[166] = 2.121868e-06
eps_x[167] = -6.751616e-07	 eps_y[167] = 5.948444e-07	 gama[167] = 4.107117e-06
eps_x[168] = -9.302399e-07	 eps_y[168] = 3.356191e-06	 gama[168] = 1.991603e-06
eps_x[169] = -6.728118e-07	 eps_y[169] = 4.360616e-07	 gama[169] = 4.047071e-06
eps_x[170] = -8.177823e-07	 eps_y[170] = 2.920352e-06	 gama[170] = 1.689340e-06
eps_x[171] = 5.958853e-07	 eps_y[171] = -7.612916e-07	 gama[171] = -5.088918e-06
eps_x[172] = 9.928633e-07	 eps_y[172] = -2.781180e-06	 gama[172] = -2.608150e-06
