[ PSN ]

tEPS_Z
eps_z[187] = -6.352567e-07
eps_z[188] = 6.315375e-07
eps_z[189] = -6.513770e-07
eps_z[190] = 2.455637e-08
eps_z[191] = -5.512905e-07
eps_z[192] = -7.292059e-08
eps_z[193] = 7.809560e-07
eps_z[194] = 4.532977e-07
eps_z[195] = -4.256003e-07
eps_z[196] = -6.667025e-07
eps_z[197] = 8.365981e-07
eps_z[198] = 1.644813e-07
eps_z[199] = -6.516414e-07
eps_z[200] = 4.108536e-08
eps_z[201] = -6.785003e-07
eps_z[202] = -7.294454e-08
eps_z[203] = -6.775221e-07
eps_z[204] = 2.440426e-08
eps_z[205] = -6.754883e-07
eps_z[206] = -7.822417e-07
eps_z[207] = 8.484514e-07
eps_z[208] = -9.381774e-07
eps_z[209] = 8.628432e-07
eps_z[210] = -6.739984e-08
eps_z[211] = -7.035376e-07
eps_z[212] = -1.008129e-08
eps_z[213] = -6.836834e-07
eps_z[214] = -4.346867e-08
eps_z[215] = -6.984829e-07
eps_z[216] = 3.366344e-08
eps_z[217] = -6.805672e-07
eps_z[218] = 1.492756e-08
eps_z[219] = -6.819576e-07
eps_z[220] = 9.939095e-09
eps_z[221] = -6.817218e-07
eps_z[222] = 1.902253e-08
eps_z[223] = -6.787528e-07
eps_z[224] = 1.334375e-08
eps_z[225] = -6.820811e-07
eps_z[226] = 1.192478e-08
eps_z[227] = -6.834103e-07
eps_z[228] = 2.137732e-08
eps_z[229] = -6.887476e-07
eps_z[230] = 1.524353e-08
eps_z[231] = -6.900521e-07
eps_z[232] = 2.306071e-08
eps_z[233] = -6.982820e-07
eps_z[234] = 1.268864e-08
eps_z[235] = -6.791217e-07
eps_z[236] = 1.448327e-08
eps_z[237] = -6.847416e-07
eps_z[238] = 2.154032e-08
eps_z[239] = -6.782328e-07
eps_z[240] = 1.764141e-08
eps_z[241] = -6.856013e-07
eps_z[242] = 1.733469e-08
eps_z[243] = -7.059520e-07
eps_z[244] = 2.350310e-08
eps_z[245] = -7.287082e-07
eps_z[246] = 1.887689e-08
eps_z[247] = -7.160752e-07
eps_z[248] = 2.044073e-08
eps_z[249] = -7.832279e-07
eps_z[250] = 8.764386e-07
eps_z[251] = 4.867066e-07
eps_z[252] = -4.174079e-07
eps_z[253] = 1.877891e-07
eps_z[254] = -6.411777e-07
eps_z[255] = 9.879135e-07
eps_z[256] = -3.195668e-08
eps_z[257] = 1.084517e-06
eps_z[258] = 3.736006e-09
eps_z[259] = -6.494470e-07
eps_z[260] = -7.223470e-07
eps_z[261] = 1.141899e-06
eps_z[262] = -1.752705e-07
eps_z[263] = -6.970745e-07
eps_z[264] = -8.331756e-07
eps_z[265] = 1.044910e-06
eps_z[266] = -1.041209e-07
eps_z[267] = -7.358588e-07
eps_z[268] = 5.853365e-08
eps_z[269] = -6.693451e-07
eps_z[270] = 2.807380e-08
eps_z[271] = -6.812963e-07
eps_z[272] = 4.346736e-08
eps_z[273] = -6.660456e-07
eps_z[274] = 3.065186e-08
